,bot,human
1326,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1327,,
1328,A1PAMVTKGCXSWQ,
1329,"hello, im kari! i think youd enjoy a movie.",Complete Chat
1330,awesome! which movie did you see?,quit
1331,"TASK COMPLETE, Thanks for chatting with me!",
1332,,
1333,ARYL3C6N9SVV1,
1334,hi! i am here to help you find a movie trailer!,What up green?
1335,hi! how is it going today?,Going good. What you got for me?
1336,hows the family?,"Familys good, what about you, hows the wife?"
1337,why not watch a movie with her?,"I might be tempted, is your wife hot?"
1338,"i dont know, are you on fire?","I could be. Anyway, what comedy can you recommend."
1339,"my all time favorite movie is frozen 2, if you havent seen it.",Is it  a comdey?
1340,"its a family comedy, very enjoyable.",who stars in it?
1341,bill murray,"awesome, who else?"
1342,"the elf and elsa are played by andy serkis, have you seen doctor who?",no I havent 
1343,"well doctor who is a very enjoyable tv show that has some bloody, gory, and humorous content.",accept
1344,"TASK COMPLETE, Thanks for chatting with me!",
1345,,
1346,A2NO3OTBZYY43Z,
1347,"hello, i am here to help you find a movie trailer",I like the thriller movies.
1348,what was the last movie you watched?,The Last With Hunter
1349,how did you like it?,It was good movie and I like Vin Diesel
1350,what about underwater,who is the lead actor?
1351,depp is the lead actor,[accept]
1352,"TASK COMPLETE, Thanks for chatting with me!",
1353,,
1354,A8C3WNWRBWUXO,
1355,hi! how are you doing today?,"Good, and you?"
1356,im good. watching a good movie?,"Thats what Im looking for, a good recommendation."
1357,do you have any specific types of movies you enjoy?,"I like drama and sci-fi, may a cross between the two."
1358,Have you seen Bloodshot?,"No, tell me about it."
1359,have you heard of the movie called hunger?,"Not that either, what is it about?"
1360,a guy runs for president and has to deal with the media ,Is there more to it than that?
1361,the media really wants to make him look bad. so they make up any stories they can.,Sounds like real life.
1362,it is about a kid who is suddenly turned by everything,accept
1363,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1364,,
1365,A1V2H0UF94ATWY,
1366,hello,"Hi, there. "
1367,what type of movies do you like?,I like horror and sci-fi. How about you?
1368,I would like to recommend Bloodshot.,[accept]
1369,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1370,,
1371,A2615YW1YERQBO,
1372,hello,hi there
1373,"hello, im here to help you looking for a movie trailer",all right
1374,what type of movie trailers do you enjoy?,documentaries
1375,"perfect, emily movie with zebras?",I dont get it. Is that the name of a movie?
1376,I would recommend Emily.,[accept]
1377,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/HUIpeFHkpNw Thanks for chatting with me!",
1378,,
1379,A272X64FOZFYLB,
1380,hello how are you today?,"I am excellent, thanks. I am getting ready for the holidays."
1381,did you make plans for the holidays?,I did yes! I am having a Thanksgiving dinner on Thursday with family.
1382,"awesome, i am as well.",I wanted to ask you today about what you believe are the best movies. I love science fiction and drama movies.
1383,i like those type of movies as well. i liked sam heughan in the turning,What others do you like? Do you know of any movies with Matthew McConaughey?
1384,"yes, one of my favorites is tom cruise.",What are the best Tom Cruise movies to see?
1385,Have you seen Bloodshot?,"I havent, can you tell me the plot?"
1386,terminator: dark fate it has matt mcconaughey in it.,Wow okay! I love the Terminator movies.
1387,the plot is very interesting i recommend that you watch the trailer for this movie,Thanks for telling me about that movie.
1388,"Ray Garrison, a slain soldier, is re-animated with superpowers.",Im going to see the trailer now. Take care!
1389,"thank you, i hope you like it",[accept]
1390,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1391,,
1392,A263Y9ZPYSSTB9,
1393,"hello, what types of movies are you interested in?",I am interested in thriller movies
1394,i have seen some bad boys for life movies and i think they were pretty great,What is it about
1395,its about samuel l jackson,what is the plot about?
1396,"its about After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",that sounds interesting
1397,"ah perfect, youll enjoy it. the cast is great too, really good movie overall.",accept
1398,"TASK COMPLETE, Thanks for chatting with me!",
1399,,
